
#Thanksgiving Cabin Power System
#Time is in UNIX Time#Created: 2020-12-30 at 15:31:42 or 1609342302 in UNIX time
#Timestamp,Battery Voltage (V),Solar Voltage (V),Load Amps (A),Battery Amps (A),Solar Amps (A),Battery percentage, Power into Battery (w), Power to loads (w),Outside Temp (C),Cabin Temp (C),Battery Temp (C)
1609342587,12.74,0.00,-2.20,-12.20,0.00,89.93,-102.80,14.82,4.44,22.94,19.50
1609343187,12.75,0.00,-1.99,-11.60,0.00,89.09,-124.45,27.04,4.25,22.63,19.63
1609343188,12.75,0.00,-1.97,-11.73,0.00,89.09,-123.53,25.32,4.25,22.69,19.69
1609343787,12.99,0.00,-0.13,-6.25,0.00,88.46,-99.12,12.95,4.25,23.63,19.69
1609343788,12.99,0.00,-0.13,-6.25,0.00,88.46,-79.25,1.68,4.31,23.69,19.69
1609344387,12.94,0.00,-0.09,-6.18,0.00,87.90,-91.85,8.67,4.19,24.94,19.69
1609344388,12.94,0.00,-0.10,-6.18,0.00,87.90,-78.93,1.40,4.19,25.00,19.69
1609344988,13.01,0.00,-0.13,-6.25,0.00,87.45,-79.48,1.67,4.19,25.44,19.75
1609345588,12.77,0.00,-1.63,-10.55,0.00,86.85,-95.98,12.20,4.06,25.25,19.81
1609345589,12.77,0.00,-1.63,-10.57,0.00,86.85,-115.52,21.50,4.13,25.25,19.88
1609346188,12.82,0.00,-1.12,-9.12,0.00,86.12,-111.78,19.88,4.00,25.44,19.94
1609346189,12.82,0.00,-1.12,-8.99,0.00,86.12,-103.13,14.43,4.00,25.44,19.94
1609346788,12.78,0.00,-1.47,-10.03,0.00,85.42,-107.40,17.46,4.06,25.13,20.00
1609346789,12.78,0.00,-1.52,-10.12,0.00,85.42,-109.61,19.02,4.06,25.13,20.00
1609347388,12.83,0.00,-0.86,-8.48,0.00,84.77,-103.05,15.04,4.00,25.19,20.06
1609347389,12.83,0.00,-0.87,-8.42,0.00,84.77,-96.26,11.22,4.00,25.25,20.13
1609347988,12.95,0.00,-0.15,-6.26,0.00,84.25,-87.18,6.18,4.00,24.56,20.13
1609347989,12.95,0.00,-0.17,-6.28,0.00,84.25,-79.13,1.54,4.00,24.63,20.13
1609348589,12.95,0.00,-0.27,-6.57,0.00,83.79,-80.36,2.35,3.94,24.13,20.06
