
#Thanksgiving Cabin Power System
#Time is in UNIX Time#Created: 2021-03-26 at 11:37:40 or 1616758660 in UNIX time
#Timestamp,Battery Voltage (V),Solar Voltage (V),Load Amps (A),Battery Amps (A),Solar Amps (A),Battery percentage, Power into Battery (w), Power to loads (w),Outside Temp (C),Cabin Temp (C),Battery Temp (C)
1616758660,14.16,0.00,-0.01,0.13,0.00,-1.00,0.00,0.00,11.94,5.50,3.88
1616760465,14.13,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,12.25,6.00,4.19
1616762269,14.14,0.00,-0.01,-0.01,0.00,-1.00,0.00,0.00,12.19,6.63,4.44
1616764074,14.13,0.00,-0.01,0.07,0.00,-1.00,0.00,0.00,12.94,7.13,4.81
1616765878,14.13,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,13.06,7.56,5.13
1616767683,14.13,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,12.31,8.19,5.44
1616769488,14.14,0.00,-0.01,0.07,0.00,-1.00,0.00,0.00,10.94,8.44,5.75
1616771292,14.12,0.00,-0.01,0.09,0.00,-1.00,0.00,0.00,11.44,8.94,6.06
1616773097,14.01,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,8.69,8.81,6.38
1616774902,13.90,0.00,-0.01,0.01,0.00,-1.00,0.00,0.00,6.69,8.69,6.56
1616776707,13.82,0.00,-0.01,0.01,0.00,-1.00,0.00,0.00,5.94,8.50,6.69
1616778512,14.10,0.00,-0.01,0.07,0.00,-1.00,0.00,0.00,6.06,8.38,6.81
1616780317,14.10,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,5.94,8.19,6.88
1616782123,13.80,0.00,-0.01,-0.01,0.00,-1.00,0.00,0.00,5.06,8.00,6.94
1616783928,13.63,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.50,7.81,6.94
1616785733,13.49,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.31,7.63,6.94
1616787538,13.36,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.06,7.44,6.94
1616789343,13.26,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.81,7.25,6.94
1616791148,13.18,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.81,7.06,6.88
1616792953,13.12,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.50,6.88,6.81
1616794758,13.06,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.38,6.69,6.75
1616796562,13.03,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.31,6.50,6.69
1616798367,13.00,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.25,6.31,6.56
1616800172,12.99,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.25,6.19,6.50
1616801976,12.97,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.19,6.00,6.38
1616803781,12.96,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.19,5.88,6.31
1616805585,12.94,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.00,5.75,6.19
1616807390,12.93,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,2.94,5.56,6.13
1616809194,12.92,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,2.88,5.44,6.00
1616810998,12.90,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,2.81,5.31,5.94
1616812802,12.89,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,2.63,5.19,5.81
1616814607,12.88,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,2.63,5.06,5.69
1616816411,12.87,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,2.63,4.94,5.63
1616818215,12.86,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,2.56,4.81,5.50
1616820019,12.86,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,2.44,4.75,5.44
1616821823,12.85,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,2.38,4.63,5.31
1616823627,12.84,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,2.38,4.50,5.25
1616825431,12.84,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,2.44,4.38,5.13
1616827235,12.84,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,2.38,4.31,5.06
1616829039,12.84,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,2.31,4.25,4.94
1616830842,12.83,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,2.44,4.13,4.88
1616832646,12.83,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,2.44,4.06,4.75
1616834450,12.85,0.00,-0.01,-0.01,0.00,-1.00,0.00,0.00,2.50,4.00,4.69
1616836254,12.88,0.00,-0.01,-0.00,0.00,-1.00,0.00,0.00,2.81,3.94,4.63
