
#Thanksgiving Cabin Power System
#Time is in UNIX Time#Created: 2021-06-18 at 12:20:36 or 1624018836 in UNIX time
#Timestamp,Battery Voltage (V),Solar Voltage (V),Load Amps (A),Battery Amps (A),Solar Amps (A),Battery percentage, Power into Battery (w), Power to loads (w),Outside Temp (C),Cabin Temp (C),Battery Temp (C)
1624018836,13.96,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,16.25,13.00,12.13
1624020645,13.96,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,16.38,13.31,12.25
1624022453,13.94,0.00,-0.01,0.16,0.00,-1.00,0.00,0.00,16.63,13.63,12.44
1624024262,13.92,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,17.06,13.94,12.63
1624026071,13.92,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,16.81,14.19,12.75
1624027879,13.92,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,16.50,14.38,12.94
1624029688,13.92,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,16.25,14.56,13.13
1624031497,13.92,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,17.31,14.75,13.31
1624033298,13.92,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,17.56,15.13,13.50
1624035107,13.89,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,17.50,15.44,13.69
1624036916,13.89,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,16.69,15.56,13.94
1624038717,13.82,0.00,-0.01,0.00,0.00,-1.00,0.00,0.00,15.50,15.63,14.13
1624040526,13.72,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,15.06,15.63,14.25
1624042327,13.57,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,14.31,15.56,14.38
1624044128,13.45,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,13.88,15.44,14.44
1624045937,13.35,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,13.38,15.38,14.50
1624047738,13.25,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,13.00,15.25,14.50
1624049539,13.16,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,12.63,15.13,14.50
1624051348,13.09,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,12.38,14.94,14.56
1624053149,13.03,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,12.13,14.81,14.50
1624054958,12.98,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.81,14.63,14.50
1624056759,12.95,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.69,14.50,14.44
1624058568,12.92,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.56,14.31,14.38
1624060369,12.91,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.44,14.19,14.31
1624062178,12.90,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.25,14.06,14.25
1624063988,12.89,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.13,13.94,14.19
1624065797,12.88,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.13,13.81,14.13
1624067606,12.88,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.06,13.69,14.00
1624069415,12.87,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.00,13.56,13.94
1624071224,12.86,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,10.88,13.44,13.88
1624073033,12.84,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,10.88,13.31,13.75
1624074842,12.83,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,10.56,13.19,13.69
1624076651,12.82,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,10.44,13.06,13.63
1624078460,12.81,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,10.38,12.94,13.50
1624080268,12.80,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,10.31,12.81,13.44
1624082077,12.81,0.00,-0.01,-0.01,0.00,-1.00,0.00,0.00,10.44,12.69,13.31
1624083886,12.87,0.00,-0.01,0.00,0.00,-1.00,0.00,0.00,10.56,12.63,13.25
1624085694,12.90,0.00,-0.01,0.01,0.00,-1.00,0.00,0.00,10.75,12.56,13.13
1624087503,12.93,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,10.81,12.50,13.06
1624089311,13.11,0.00,-0.01,0.09,0.00,-1.00,0.00,0.00,10.94,12.44,13.00
1624091120,13.27,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,10.94,12.38,12.94
1624092928,13.42,0.00,-0.01,0.09,0.00,-1.00,0.00,0.00,10.94,12.38,12.88
1624094737,13.57,0.00,-0.01,0.09,0.00,-1.00,0.00,0.00,11.13,12.31,12.81
1624096545,13.79,0.00,-0.01,0.10,0.00,-1.00,0.00,0.00,11.25,12.31,12.75
1624098354,14.25,0.00,-0.01,0.17,0.00,-1.00,0.00,0.00,11.38,12.25,12.75
1624100163,14.28,0.00,-0.01,0.15,0.00,-1.00,0.00,0.00,11.50,12.25,12.69
1624101971,14.36,0.00,-0.01,0.13,0.00,-1.00,0.00,0.00,11.81,12.25,12.69
1624103780,14.35,0.00,-0.01,0.13,0.00,-1.00,0.00,0.00,12.25,12.31,12.63
1624105588,14.35,0.00,-0.01,0.13,0.00,-1.00,0.00,0.00,12.31,12.38,12.63
1624107397,14.36,0.00,-0.01,0.13,0.00,-1.00,0.00,0.00,12.75,12.38,12.63
1624109206,14.34,0.00,-0.01,0.14,0.00,-1.00,0.00,0.00,12.75,12.44,12.63
1624111014,13.96,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,12.94,12.50,12.63
1624112823,13.96,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,13.06,12.56,12.63
1624114632,13.96,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,13.25,12.63,12.63
1624116440,13.96,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,13.31,12.69,12.63
1624118249,13.96,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,13.38,12.75,12.69
1624120057,13.92,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,13.25,12.81,12.69
1624121866,13.94,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,13.25,12.81,12.75
1624123674,13.93,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,13.25,12.88,12.75
1624125483,13.91,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,13.31,12.88,12.75
1624127292,13.80,0.00,-0.01,-0.00,0.00,-1.00,0.00,0.00,13.25,12.88,12.81
1624129100,13.67,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,13.13,12.88,12.81
1624130909,13.52,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,13.00,12.88,12.88
1624132718,13.41,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,12.81,12.88,12.88
1624134526,13.30,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,12.63,12.88,12.88
1624136335,13.21,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,12.50,12.88,12.88
1624138143,13.13,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,12.38,12.81,12.88
1624139952,13.06,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,12.25,12.81,12.88
1624141760,13.01,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,12.19,12.81,12.88
1624143569,12.96,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,12.13,12.75,12.88
1624145377,12.94,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,12.00,12.69,12.88
1624147186,12.92,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.88,12.63,12.88
1624148994,12.90,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.81,12.63,12.81
1624150802,12.89,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.69,12.56,12.81
1624152611,12.88,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.69,12.50,12.81
1624154419,12.88,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.69,12.44,12.75
1624156228,12.87,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.69,12.38,12.75
1624158036,12.86,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.63,12.31,12.69
1624159844,12.85,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.63,12.31,12.69
1624161653,12.84,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.63,12.25,12.63
1624163461,12.82,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.63,12.19,12.63
1624165269,12.82,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.56,12.13,12.56
1624167077,12.82,0.00,-0.01,-0.01,0.00,-1.00,0.00,0.00,11.56,12.13,12.50
1624168885,12.88,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,11.63,12.06,12.50
1624170694,13.02,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,11.75,12.06,12.44
1624172502,13.13,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,11.81,12.00,12.44
1624174310,13.50,0.00,-0.01,0.22,0.00,-1.00,0.00,0.00,12.19,12.00,12.44
1624176119,14.32,0.00,-0.01,0.18,0.00,-1.00,0.00,0.00,12.75,12.19,12.44
1624177928,14.30,0.00,-0.01,0.17,0.00,-1.00,0.00,0.00,13.25,12.56,12.44
1624179736,13.92,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,14.50,13.00,12.50
1624181545,13.89,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,16.25,13.50,12.69
1624183353,13.89,0.00,-0.01,0.01,0.00,-1.00,0.00,0.00,17.69,14.19,12.88
1624185162,13.89,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,19.38,14.75,13.13
1624186971,13.90,0.00,-0.01,0.27,0.00,-1.00,0.00,0.00,20.75,15.38,13.38
1624188780,13.87,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,21.63,15.88,13.75
1624190589,13.87,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,22.94,16.50,14.06
1624192390,13.87,0.00,-0.01,0.01,0.00,-1.00,0.00,0.00,23.25,17.00,14.44
1624194191,13.87,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,23.63,17.69,14.81
1624195992,13.87,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,24.50,18.19,15.19
1624197793,13.83,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,24.88,18.81,15.56
1624199594,13.83,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,24.00,19.25,16.00
1624201396,13.83,0.00,-0.01,-0.00,0.00,-1.00,0.00,0.00,24.38,20.06,16.44
1624203198,13.80,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,25.00,20.31,16.88
1624205001,13.80,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,24.69,20.75,17.31
1624206803,13.77,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,24.06,21.13,17.69
1624208606,13.77,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,22.38,21.25,18.06
1624210409,13.77,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,21.56,21.25,18.38
1624212213,13.77,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,20.69,21.25,18.69
1624214017,13.75,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,20.13,21.19,18.88
1624215821,13.71,0.00,-0.01,0.01,0.00,-1.00,0.00,0.00,19.44,21.06,19.00
1624217625,13.62,0.00,-0.01,-0.01,0.00,-1.00,0.00,0.00,18.81,21.00,19.13
1624219429,13.49,0.00,-0.01,-0.04,0.00,-1.00,0.00,0.00,18.06,20.81,19.25
1624221233,13.37,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,17.81,20.69,19.31
1624223037,13.27,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,17.25,20.50,19.31
1624224841,13.18,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,16.94,20.31,19.38
1624226645,13.10,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,16.63,20.06,19.38
1624228449,13.04,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,16.38,19.88,19.31
1624230253,13.00,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,16.13,19.63,19.31
1624232057,12.96,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,15.94,19.38,19.19
1624233861,12.94,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,15.81,19.19,19.13
1624235664,12.92,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,15.63,18.94,19.06
1624237468,12.91,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,15.50,18.75,18.94
1624239271,12.90,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,15.38,18.56,18.88
1624241075,12.89,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,15.25,18.31,18.75
1624242878,12.89,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,15.06,18.13,18.63
1624244681,12.88,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,15.00,17.94,18.56
1624246484,12.87,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,14.88,17.75,18.44
1624248287,12.86,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,14.81,17.56,18.31
1624250090,12.85,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,14.69,17.38,18.19
1624251892,12.84,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,14.56,17.25,18.06
1624253695,12.86,0.00,-0.01,-0.00,0.00,-1.00,0.00,0.00,14.44,17.06,17.94
1624255498,12.94,0.00,-0.01,0.01,0.00,-1.00,0.00,0.00,14.50,16.88,17.75
1624257300,13.07,0.00,-0.01,0.07,0.00,-1.00,0.00,0.00,14.81,16.75,17.63
1624259102,13.33,0.00,-0.01,0.12,0.00,-1.00,0.00,0.00,15.13,16.63,17.50
1624260905,14.18,0.00,-0.01,0.36,0.00,-1.00,0.00,0.00,15.50,16.56,17.44
1624262707,14.20,0.00,-0.01,0.14,0.00,-1.00,0.00,0.00,15.81,16.63,17.31
1624264510,14.16,0.00,-0.01,0.10,0.00,-1.00,0.00,0.00,16.63,16.88,17.31
1624266312,13.81,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,17.94,17.19,17.25
1624268114,13.80,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,19.06,17.56,17.31
1624269917,13.77,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,20.50,17.88,17.38
1624271719,13.77,0.00,-0.01,0.08,0.00,-1.00,0.00,0.00,23.13,18.56,17.50
1624273522,13.77,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,24.88,19.13,17.69
1624275325,13.74,0.00,-0.01,-0.01,0.00,-1.00,0.00,0.00,26.13,19.75,17.88
1624277128,13.74,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,27.25,20.19,18.19
1624278931,13.75,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,28.19,20.63,18.44
1624280734,13.75,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,28.31,21.50,18.75
1624282538,13.75,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,28.69,21.88,19.06
1624284342,13.70,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,28.38,22.81,19.44
1624286146,13.71,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,29.13,23.00,19.81
1624287951,13.71,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,28.94,23.56,20.19
1624289756,13.67,0.00,-0.01,0.01,0.00,-1.00,0.00,0.00,28.75,23.94,20.63
1624291561,13.67,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,28.75,24.44,21.06
1624293367,13.67,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,28.06,24.81,21.44
1624295172,13.64,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,26.75,25.13,21.81
1624296979,13.57,0.00,-0.01,-0.02,0.00,-1.00,0.00,0.00,23.94,25.00,22.13
1624298785,13.46,0.00,-0.01,-0.02,0.00,-1.00,0.00,0.00,21.81,24.81,22.38
1624300592,13.36,0.00,-0.01,-0.02,0.00,-1.00,0.00,0.00,21.31,24.56,22.50
1624302398,13.26,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,20.88,24.19,22.63
1624304205,13.17,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,20.13,23.94,22.63
1624306012,13.09,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,19.63,23.69,22.63
1624307818,13.04,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,18.88,23.38,22.56
1624309625,12.99,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,18.56,23.13,22.50
1624311431,12.96,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,18.00,22.81,22.44
1624313238,12.94,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,17.63,22.44,22.31
1624315044,12.92,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,17.38,22.13,22.25
1624316850,12.91,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,17.00,21.88,22.13
1624318656,12.90,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,16.75,21.56,21.94
1624320461,12.90,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,16.31,21.25,21.81
1624322267,12.89,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,16.19,20.94,21.63
1624324072,12.88,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,16.00,20.63,21.44
1624325877,12.87,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,15.75,20.38,21.25
1624327682,12.86,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,15.56,20.06,21.06
1624329487,12.85,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,15.19,19.81,20.81
1624331291,12.84,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,15.06,19.56,20.63
1624333096,12.84,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,14.88,19.25,20.44
1624334900,12.83,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,14.56,19.00,20.19
1624336704,12.83,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,14.50,18.75,20.00
1624338508,12.83,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,14.44,18.50,19.81
1624340311,12.83,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,14.38,18.31,19.56
1624342115,12.86,0.00,-0.01,-0.00,0.00,-1.00,0.00,0.00,14.31,18.13,19.38
1624343918,12.92,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,14.38,17.88,19.19
1624345721,13.02,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,14.56,17.75,19.00
1624347524,13.80,0.00,-0.01,0.59,0.00,-1.00,0.00,0.00,14.88,17.63,18.81
1624349328,14.12,0.00,-0.01,0.21,0.00,-1.00,0.00,0.00,15.31,17.63,18.69
1624351131,14.11,0.00,-0.01,0.14,0.00,-1.00,0.00,0.00,16.19,17.88,18.63
1624352934,13.74,0.00,-0.01,-0.02,0.00,-1.00,0.00,0.00,17.75,18.25,18.56
1624354737,13.74,0.00,-0.01,0.00,0.00,-1.00,0.00,0.00,20.13,18.75,18.56
1624356540,13.75,0.00,-0.01,0.10,0.00,-1.00,0.00,0.00,21.56,19.13,18.63
1624358343,13.70,0.00,-0.01,-0.02,0.00,-1.00,0.00,0.00,23.25,19.75,18.69
1624360147,13.71,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,23.88,20.13,18.88
1624361950,13.71,0.00,-0.01,0.08,0.00,-1.00,0.00,0.00,25.25,20.56,19.00
1624363754,13.71,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,25.81,21.00,19.25
1624365558,13.71,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,25.81,21.31,19.44
1624367362,13.71,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,25.94,21.75,19.69
1624369167,13.71,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,-127.00,-127.00,-127.00
1624370971,13.71,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,26.38,22.63,20.19
1624372776,13.71,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,26.00,23.00,20.44
1624374581,13.68,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,25.44,23.38,20.75
1624376386,13.68,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,25.38,23.75,21.00
1624378192,13.68,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,25.13,24.13,21.31
1624379997,13.68,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,24.75,24.44,21.56
1624381803,13.65,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,24.19,24.63,21.81
1624383609,13.55,0.00,-0.01,-0.02,0.00,-1.00,0.00,0.00,21.63,24.25,22.06
1624385416,13.44,0.00,-0.01,-0.02,0.00,-1.00,0.00,0.00,20.63,24.00,22.19
1624387222,13.34,0.00,-0.01,-0.02,0.00,-1.00,0.00,0.00,19.69,23.81,22.25
1624389029,13.25,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,18.75,23.56,22.31
1624390835,13.16,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,18.06,23.31,22.31
1624392641,13.08,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,17.56,23.00,22.25
1624394448,13.03,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,17.00,22.69,22.19
1624396254,12.99,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,16.50,22.38,22.06
1624398060,12.97,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,16.25,22.06,21.94
1624399865,12.95,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,16.00,21.75,21.81
1624401671,12.93,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,15.81,21.44,21.69
1624403476,12.92,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,15.69,21.13,21.50
