
#Thanksgiving Cabin Power System
#Time is in UNIX Time#Created: 2021-07-25 at 14:23:13 or 1627222993 in UNIX time
#Timestamp,Battery Voltage (V),Solar Voltage (V),Load Amps (A),Battery Amps (A),Solar Amps (A),load Power (w),solar Power (w),hydro Power (w),Outside Temp (C),Cabin Temp (C),Battery Temp (C)
1627222993,13.47,13.49,-0.10,0.11,0.23,-1.22,3.11,-0.28,-127.00,23.44,23.38
1627222999,13.39,13.40,-0.10,0.11,0.23,-1.34,3.09,-0.27,-127.00,23.44,23.31
1627223005,13.36,13.37,-0.10,0.11,0.23,-1.33,3.06,-0.26,-127.00,23.44,23.31
1627223011,13.43,13.44,-0.09,0.12,0.23,-1.21,3.09,-0.27,-127.00,23.44,23.31
1627223017,13.36,13.37,-0.10,0.11,0.23,-1.33,3.06,-0.26,-127.00,23.38,23.31
1627223023,13.37,13.38,-0.10,0.12,0.23,-1.30,3.08,-0.23,-127.00,23.44,23.31
1627223029,13.38,13.39,-0.10,0.12,0.23,-1.28,3.06,-0.20,-127.00,23.38,23.31
1627223036,13.37,13.38,-0.09,0.12,0.22,-1.15,3.10,-0.20,-127.00,23.44,23.38
1627223041,13.38,13.39,-0.10,0.12,0.23,-1.28,3.08,-0.21,-127.00,23.38,23.31
1627223047,13.37,13.38,-0.10,0.12,0.23,-1.28,3.08,-0.21,-127.00,23.38,23.31
1627223075,13.76,13.68,-0.08,0.14,0.23,0.00,0.00,0.00,-127.00,23.38,23.31
1627223102,13.71,13.72,-0.06,0.15,0.23,0.00,0.00,0.00,-127.00,23.38,23.31
1627223128,13.72,13.62,-0.07,0.15,0.23,0.00,0.00,0.00,-127.00,23.38,23.31
1627223155,13.73,13.70,-0.06,0.14,0.23,0.00,0.00,0.00,-127.00,23.38,23.31
1627223182,13.74,13.73,-0.06,0.15,0.23,0.00,0.00,0.00,-127.00,23.38,23.31
1627223209,13.67,13.73,-0.06,0.15,0.23,0.00,0.00,0.00,-127.00,23.38,23.25
1627223236,13.74,13.71,-0.09,0.14,0.23,0.00,0.00,0.00,-127.00,23.38,23.25
1627223263,13.82,13.76,-0.07,0.15,0.23,0.00,0.00,0.00,-127.00,23.38,23.25
1627223281,12.10,12.11,-1.32,-1.08,0.23,-16.49,11.24,-0.12,-127.00,23.38,23.25
1627223287,13.25,13.26,-0.09,0.82,0.92,-4.26,10.11,-0.22,-127.00,23.38,23.25
1627223293,12.71,12.72,-0.10,0.11,0.23,-1.29,2.91,-0.22,-127.00,23.38,23.25
1627223299,12.75,12.76,-0.10,0.11,0.23,-1.29,2.94,-0.22,-127.00,23.38,23.25
1627223305,12.82,12.83,-0.10,0.11,0.22,-1.32,2.91,-0.18,-127.00,23.38,23.25
1627223311,12.90,12.92,-0.10,0.11,0.23,-1.32,2.94,-0.21,-127.00,23.31,23.25
1627223317,13.08,13.09,-0.09,0.12,0.22,-1.20,3.00,-0.24,-127.00,23.31,23.25
1627223323,13.12,13.14,-0.10,0.11,0.23,-1.32,3.00,-0.22,-127.00,23.31,23.25
1627223329,13.20,13.21,-0.10,0.11,0.23,-1.32,3.01,-0.23,-127.00,23.38,23.25
1627223335,13.26,13.26,-0.10,0.11,0.22,-1.32,3.03,-0.23,-127.00,23.31,23.25
1627223341,13.29,13.30,-0.10,0.12,0.23,-1.31,3.06,-0.26,-127.00,23.31,23.25
1627223344,13.29,13.30,-0.10,0.11,0.23,0.00,0.00,0.00,-127.00,23.31,23.25
1627223371,13.71,13.72,-0.06,0.15,0.23,0.00,0.00,0.00,-127.00,23.31,23.25
1627223398,13.67,13.68,-0.07,0.14,0.23,0.00,0.00,0.00,-127.00,23.31,23.25
1627223425,13.62,13.70,-0.09,0.14,0.23,0.00,0.00,0.00,-127.00,23.31,23.19
1627223451,13.73,13.74,-0.08,0.14,0.23,0.00,0.00,0.00,-127.00,23.31,23.25
1627223460,12.28,12.35,-1.34,-0.41,0.92,-16.45,11.22,-0.14,-127.00,23.31,23.25
1627223466,12.94,12.94,-0.10,0.11,0.23,-1.30,8.41,-0.24,-127.00,23.31,23.25
1627223472,12.70,12.71,-0.10,0.11,0.22,-1.29,2.91,-0.22,-127.00,23.31,23.25
1627223478,12.82,12.82,-0.09,0.12,0.22,-1.19,2.90,-0.18,-127.00,23.31,23.25
1627223484,12.85,12.86,-0.10,0.11,0.23,-1.29,2.96,-0.23,-127.00,23.31,23.25
1627223490,12.95,12.96,-0.10,0.11,0.22,-1.28,2.93,-0.19,-127.00,23.31,23.25
1627223497,13.06,13.07,-0.10,0.11,0.23,-1.15,2.89,-0.03,-127.00,23.31,23.25
1627223502,13.15,13.16,-0.10,0.11,0.23,-1.28,3.03,-0.28,-127.00,23.31,23.25
1627223508,13.22,13.23,-0.10,0.11,0.23,-1.30,3.04,-0.25,-127.00,23.31,23.25
1627223514,13.26,13.27,-0.10,0.11,0.23,-1.32,3.01,-0.21,-127.00,23.31,23.25
1627223520,13.35,13.36,-0.09,0.12,0.23,0.00,0.00,0.00,-127.00,23.31,23.25
1627223542,13.52,13.56,-0.07,0.15,0.23,0.00,0.00,0.00,-127.00,23.31,23.25
1627223569,13.59,13.67,-0.06,0.15,0.23,0.00,0.00,0.00,-127.00,23.31,23.25
1627223595,13.68,13.69,-0.07,0.14,0.23,0.00,0.00,0.00,-127.00,23.31,23.31
1627223622,13.69,13.70,-0.07,0.13,0.23,0.00,0.00,0.00,-127.00,23.31,23.25
1627223649,13.68,13.75,-0.06,0.15,0.23,0.00,0.00,0.00,-127.00,23.31,23.25
