
#Thanksgiving Cabin Power System
#Time is in UNIX Time#Created: 2021-07-25 at 14:47:28 or 1627224448 in UNIX time
#Timestamp,Battery Voltage (V),Solar Voltage (V),Load Amps (A),Battery Amps (A),Solar Amps (A),load Power (w),solar Power (w),hydro Power (w),Outside Temp (C),Cabin Temp (C),Battery Temp (C)
1627224448,13.53,13.56,-0.09,0.12,0.23,-1.20,3.13,-0.30,-127.00,23.56,23.50
1627224454,13.50,13.51,-0.10,0.11,0.23,-1.33,3.11,-0.30,-127.00,23.56,23.50
1627224460,13.50,13.51,-0.10,0.12,0.23,-1.31,3.11,-0.27,-127.00,23.56,23.50
1627224466,13.57,13.58,-0.09,0.12,0.23,-1.17,3.08,-0.26,-127.00,23.56,23.50
1627224473,13.52,13.52,-0.09,0.12,0.23,-1.15,3.13,-0.21,-127.00,23.63,23.56
1627224478,13.50,13.50,-0.10,0.12,0.23,-1.28,3.11,-0.22,-127.00,23.56,23.50
1627224484,13.48,13.50,-0.10,0.11,0.23,-1.28,3.11,-0.22,-127.00,23.63,23.50
1627224490,13.48,13.49,-0.09,0.11,0.23,-1.27,3.11,-0.22,-127.00,23.63,23.50
1627224496,13.47,13.48,-0.09,0.12,0.23,-1.27,3.11,-0.22,-127.00,23.63,23.56
1627224502,13.47,13.48,-0.09,0.12,0.23,-1.27,3.10,-0.22,-127.00,23.63,23.50
1627224508,13.54,13.55,-0.09,0.12,0.23,-1.15,3.12,-0.32,-127.00,23.63,23.56
1627224514,13.47,13.48,-0.09,0.12,0.23,-1.27,3.06,-0.18,-127.00,23.63,23.56
1627224520,13.46,13.48,-0.09,0.12,0.23,-1.27,3.08,-0.20,-127.00,23.63,23.56
1627224526,13.46,13.47,-0.09,0.12,0.23,-1.27,3.08,-0.20,-127.00,23.63,23.56
1627224532,13.46,13.46,-0.09,0.12,0.23,-1.27,3.08,-0.20,-127.00,23.63,23.56
1627224538,13.45,13.46,-0.09,0.12,0.23,-1.27,3.10,-0.23,-127.00,23.63,23.56
1627224544,13.45,13.46,-0.09,0.12,0.23,-1.27,3.08,-0.20,-127.00,23.63,23.56
1627224550,13.52,13.53,-0.09,0.13,0.23,-1.15,3.11,-0.23,-127.00,23.63,23.56
1627224556,13.46,13.47,-0.09,0.12,0.23,-1.26,3.08,-0.21,-127.00,23.63,23.56
1627224562,13.45,13.46,-0.09,0.12,0.23,-1.26,3.10,-0.23,-127.00,23.63,23.56
1627224568,13.45,13.46,-0.09,0.12,0.23,-1.26,3.10,-0.23,-127.00,23.63,23.56
1627224574,13.45,13.46,-0.09,0.12,0.23,-1.26,3.10,-0.23,-127.00,23.63,23.63
1627224580,13.44,13.46,-0.09,0.12,0.22,-1.27,3.10,-0.22,-127.00,23.63,23.56
