
#Thanksgiving Cabin Power System
#Time is in UNIX Time#Created: 2021-07-26 at 00:47:38 or 1627260458 in UNIX time
#Timestamp,Battery Voltage (V),Solar Voltage (V),Load Amps (A),Battery Amps (A),Solar Amps (A),load Power (w),solar Power (w),hydro Power (w),Outside Temp (C),Cabin Temp (C),Battery Temp (C)
1627260458,12.49,12.49,-0.06,-0.07,0.01,0.00,0.00,0.00,-127.00,21.50,21.69
1627260485,12.64,12.63,-0.03,-0.05,0.01,0.00,0.00,0.00,-127.00,21.50,21.69
1627260512,12.62,12.63,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.50,21.69
1627260538,12.69,12.67,-0.02,-0.03,0.00,0.00,0.00,0.00,-127.00,21.50,21.69
1627260565,12.64,12.62,-0.03,-0.06,0.01,0.00,0.00,0.00,-127.00,21.50,21.69
1627260592,12.60,12.61,-0.05,-0.04,0.01,0.00,0.00,0.00,-127.00,21.50,21.69
1627260619,12.64,12.60,-0.04,-0.04,0.00,0.00,0.00,0.00,-127.00,21.50,21.69
1627260645,12.64,12.59,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.50,21.69
1627260672,12.56,12.58,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.50,21.69
1627260699,12.64,12.56,-0.03,-0.05,0.01,0.00,0.00,0.00,-127.00,21.50,21.69
1627260726,12.69,12.60,-0.02,-0.03,0.01,0.00,0.00,0.00,-127.00,21.50,21.69
1627260753,12.64,12.54,-0.05,-0.04,0.01,0.00,0.00,0.00,-127.00,21.44,21.69
1627260779,12.64,12.53,-0.04,-0.05,0.01,0.00,0.00,0.00,-127.00,21.50,21.69
1627260806,12.61,12.52,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.50,21.69
1627260833,12.64,12.50,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.50,21.63
1627260860,12.64,12.65,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.44,21.69
1627260886,12.56,12.65,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.44,21.63
1627260913,12.69,12.70,-0.05,-0.04,0.01,0.00,0.00,0.00,-127.00,21.44,21.69
1627260940,12.64,12.65,-0.04,-0.04,0.01,0.00,0.00,0.00,-127.00,21.44,21.69
1627260967,12.64,12.65,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.44,21.69
1627260994,12.64,12.65,-0.03,-0.05,0.01,0.00,0.00,0.00,-127.00,21.44,21.69
1627261020,12.60,12.65,-0.03,-0.04,0.00,0.00,0.00,0.00,-127.00,21.44,21.63
1627261047,12.64,12.65,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.44,21.63
1627261074,12.64,12.65,-0.03,-0.04,0.00,0.00,0.00,0.00,-127.00,21.44,21.63
1627261101,12.61,12.70,-0.04,-0.03,0.01,0.00,0.00,0.00,-127.00,21.44,21.63
1627261127,12.64,12.65,-0.04,-0.05,0.01,0.00,0.00,0.00,-127.00,21.44,21.63
1627261154,12.64,12.65,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.44,21.69
1627261181,12.64,12.65,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.44,21.69
