
#Thanksgiving Cabin Power System
#Time is in UNIX Time#Created: 2021-07-26 at 10:47:52 or 1627296472 in UNIX time
#Timestamp,Battery Voltage (V),Solar Voltage (V),Load Amps (A),Battery Amps (A),Solar Amps (A),load Power (w),solar Power (w),hydro Power (w),Outside Temp (C),Cabin Temp (C),Battery Temp (C)
1627296472,12.38,12.39,-0.06,-0.07,0.01,0.00,0.00,0.00,-127.00,21.56,21.69
1627296499,12.53,12.54,-0.03,-0.05,0.01,0.00,0.00,0.00,-127.00,21.56,21.69
1627296526,12.54,12.54,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.69
1627296552,12.49,12.59,-0.02,-0.03,0.01,0.00,0.00,0.00,-127.00,21.56,21.69
1627296579,12.54,12.54,-0.06,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.69
1627296606,12.54,12.54,-0.04,-0.04,0.01,0.00,0.00,0.00,-127.00,21.63,21.69
1627296633,12.48,12.40,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.63,21.69
1627296659,12.54,12.42,-0.03,-0.04,0.00,0.00,0.00,0.00,-127.00,21.63,21.69
1627296686,12.54,12.43,-0.03,-0.06,0.01,0.00,0.00,0.00,-127.00,21.56,21.69
1627296713,12.52,12.44,-0.05,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.69
1627296740,12.58,12.51,-0.02,-0.03,0.00,0.00,0.00,0.00,-127.00,21.56,21.69
1627296767,12.54,12.48,-0.03,-0.05,0.00,0.00,0.00,0.00,-127.00,21.56,21.69
1627296793,12.54,12.49,-0.03,-0.04,0.00,0.00,0.00,0.00,-127.00,21.56,21.69
1627296820,12.47,12.50,-0.05,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.69
1627296847,12.54,12.51,-0.04,-0.04,0.00,0.00,0.00,0.00,-127.00,21.56,21.69
1627296874,12.54,12.53,-0.03,-0.06,0.01,0.00,0.00,0.00,-127.00,21.56,21.69
1627296901,12.50,12.54,-0.03,-0.04,0.00,0.00,0.00,0.00,-127.00,21.56,21.69
1627296927,12.58,12.60,-0.02,-0.03,0.00,0.00,0.00,0.00,-127.00,21.56,21.69
1627296954,12.54,12.54,-0.05,-0.05,0.01,0.00,0.00,0.00,-127.00,21.56,21.69
1627296981,12.54,12.54,-0.03,-0.04,0.00,0.00,0.00,0.00,-127.00,21.56,21.69
1627297008,12.44,12.54,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.69
1627297034,12.54,12.54,-0.03,-0.04,0.00,0.00,0.00,0.00,-127.00,21.56,21.75
1627297061,12.54,12.54,-0.05,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627297088,12.49,12.54,-0.04,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627297115,12.58,12.60,-0.02,-0.03,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627297142,12.54,12.54,-0.03,-0.05,0.00,0.00,0.00,0.00,-127.00,21.56,21.75
1627297168,12.54,12.54,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627297195,12.54,12.54,-0.04,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627297222,12.53,12.54,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627297249,12.53,12.39,-0.03,-0.04,0.00,0.00,0.00,0.00,-127.00,21.56,21.75
1627297276,12.50,12.42,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627297302,12.58,12.49,-0.04,-0.03,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627297329,12.54,12.46,-0.03,-0.05,0.00,0.00,0.00,0.00,-127.00,21.56,21.75
1627297356,12.54,12.48,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.69
1627297383,12.46,12.50,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627297410,12.54,12.52,-0.05,-0.04,0.00,0.00,0.00,0.00,-127.00,21.56,21.75
1627297436,12.53,12.54,-0.03,-0.06,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627297463,12.57,12.59,-0.02,-0.03,0.00,0.00,0.00,0.00,-127.00,21.56,21.75
1627297490,12.54,12.54,-0.03,-0.04,0.00,0.00,0.00,0.00,-127.00,21.56,21.75
1627297517,12.54,12.54,-0.05,-0.05,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627297543,12.54,12.54,-0.03,-0.04,0.00,0.00,0.00,0.00,-127.00,21.56,21.75
1627297570,12.48,12.54,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627297597,12.53,12.54,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627297624,12.53,12.54,-0.05,-0.05,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627297651,12.58,12.59,-0.02,-0.03,0.00,0.00,0.00,0.00,-127.00,21.56,21.75
1627297677,12.45,12.54,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627297704,12.53,12.40,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.63,21.75
1627297731,12.54,12.42,-0.05,-0.04,0.00,0.00,0.00,0.00,-127.00,21.56,21.75
1627297758,12.50,12.44,-0.04,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627297785,12.53,12.46,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627297811,12.53,12.48,-0.03,-0.05,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627297838,12.58,12.55,-0.02,-0.03,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627297865,12.46,12.52,-0.04,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.69
1627297892,12.53,12.54,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627297918,12.53,12.54,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627297945,12.50,12.54,-0.03,-0.04,0.00,0.00,0.00,0.00,-127.00,21.56,21.75
1627297972,12.53,12.54,-0.05,-0.04,0.00,0.00,0.00,0.00,-127.00,21.56,21.69
1627297999,12.53,12.54,-0.03,-0.05,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627298026,12.58,12.60,-0.02,-0.03,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627298052,12.54,12.54,-0.03,-0.04,0.00,0.00,0.00,0.00,-127.00,21.56,21.75
1627298079,12.53,12.54,-0.06,-0.04,0.00,0.00,0.00,0.00,-127.00,21.63,21.75
1627298106,12.53,12.54,-0.04,-0.04,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627298133,12.47,12.54,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.63,21.75
1627298160,12.54,12.54,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.63,21.75
1627298186,12.53,12.54,-0.03,-0.06,0.01,0.00,0.00,0.00,-127.00,21.56,21.75
1627298213,12.56,12.60,-0.04,-0.03,0.01,0.00,0.00,0.00,-127.00,21.63,21.75
1627298240,12.54,12.54,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,21.63,21.75
