
#Thanksgiving Cabin Power System
#Time is in UNIX Time#Created: 2021-07-26 at 20:47:56 or 1627332476 in UNIX time
#Timestamp,Battery Voltage (V),Solar Voltage (V),Load Amps (A),Battery Amps (A),Solar Amps (A),load Power (w),solar Power (w),hydro Power (w),Outside Temp (C),Cabin Temp (C),Battery Temp (C)
1627332476,12.35,12.36,-0.06,-0.07,0.00,0.00,0.00,0.00,-127.00,22.25,22.31
1627332503,12.50,12.38,-0.03,-0.03,0.00,0.00,0.00,0.00,-127.00,22.25,22.38
1627332529,12.50,12.38,-0.04,-0.03,0.01,0.00,0.00,0.00,-127.00,22.31,22.38
1627332556,12.55,12.42,-0.02,-0.04,0.00,0.00,0.00,0.00,-127.00,22.31,22.38
1627332583,12.48,12.36,-0.03,-0.03,0.00,0.00,0.00,0.00,-127.00,22.25,22.38
1627332610,12.50,12.51,-0.03,-0.03,0.01,0.00,0.00,0.00,-127.00,22.31,22.38
1627332637,12.50,12.51,-0.03,-0.05,0.01,0.00,0.00,0.00,-127.00,22.31,22.38
1627332663,12.46,12.51,-0.05,-0.03,0.00,0.00,0.00,0.00,-127.00,22.31,22.38
1627332690,12.50,12.51,-0.04,-0.03,0.01,0.00,0.00,0.00,-127.00,22.31,22.38
1627332717,12.50,12.51,-0.03,-0.03,0.01,0.00,0.00,0.00,-127.00,22.25,22.38
1627332744,12.48,12.56,-0.02,-0.03,0.00,0.00,0.00,0.00,-127.00,22.25,22.38
1627332771,12.50,12.51,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,22.25,22.38
1627332797,12.50,12.51,-0.03,-0.03,0.01,0.00,0.00,0.00,-127.00,22.25,22.38
1627332824,12.50,12.51,-0.05,-0.03,0.01,0.00,0.00,0.00,-127.00,22.25,22.38
1627332851,12.50,12.51,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,22.25,22.38
1627332878,12.50,12.51,-0.03,-0.03,0.00,0.00,0.00,0.00,-127.00,22.25,22.38
1627332904,12.50,12.51,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,22.25,22.38
1627332931,12.55,12.56,-0.02,-0.04,0.01,0.00,0.00,0.00,-127.00,22.25,22.38
1627332958,12.49,12.51,-0.03,-0.03,0.01,0.00,0.00,0.00,-127.00,22.25,22.38
1627332985,12.50,12.51,-0.04,-0.03,0.01,0.00,0.00,0.00,-127.00,22.25,22.38
1627333012,12.50,12.51,-0.03,-0.05,0.01,0.00,0.00,0.00,-127.00,22.25,22.31
1627333038,12.46,12.51,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,22.25,22.38
1627333065,12.50,12.51,-0.03,-0.03,0.01,0.00,0.00,0.00,-127.00,22.25,22.38
1627333092,12.50,12.51,-0.03,-0.04,0.01,0.00,0.00,0.00,-127.00,22.25,22.38
1627333119,12.50,12.56,-0.04,-0.03,0.01,0.00,0.00,0.00,-127.00,22.25,22.38
1627333146,12.50,12.51,-0.04,-0.04,0.01,0.00,0.00,0.00,-127.00,22.25,22.31
1627333172,12.50,12.50,-0.03,-0.03,0.01,0.00,0.00,0.00,-127.00,22.25,22.38
