
#Thanksgiving Cabin Power System
#Time is in UNIX Time#Created: 2021-01-01 at 10:51:08 or 1609498268 in UNIX time
#Timestamp,Battery Voltage (V),Solar Voltage (V),Load Amps (A),Battery Amps (A),Solar Amps (A),Battery percentage, Power into Battery (w), Power to loads (w),Outside Temp (C),Cabin Temp (C),Battery Temp (C)
1609498268,13.86,0.00,-3.88,-0.00,0.00,100.00,-53.76,0.00,7.69,22.06,18.88
1609498868,13.85,0.00,-3.68,0.06,0.00,99.71,-51.90,-0.62,7.69,21.44,18.63
1609498869,13.85,0.00,-3.68,0.06,0.00,99.71,-51.98,-0.90,7.69,21.44,18.63
1609499468,13.85,0.00,-3.68,0.06,0.00,99.43,-51.64,-0.74,7.69,21.31,18.56
1609499469,13.85,0.00,-3.68,0.06,0.00,99.43,-51.62,-0.65,7.69,21.31,18.56
1609500068,13.80,0.00,-3.13,-0.05,0.00,99.19,-43.06,-0.77,7.69,20.81,18.56
1609500069,13.80,0.00,-3.13,-0.05,0.00,99.19,-42.54,0.70,7.69,20.81,18.56
1609500669,13.82,0.00,-3.14,0.08,0.00,98.95,-44.08,-0.64,7.69,20.81,18.50
1609501269,13.89,0.00,-2.75,0.08,0.00,98.72,-42.16,-0.88,7.63,20.56,18.50
1609501270,13.89,0.00,-2.74,0.09,0.00,98.72,-39.32,-1.20,7.69,20.56,18.50
1609501869,13.70,0.00,-3.24,-0.14,0.00,98.50,-40.41,0.15,7.63,19.81,18.38
1609501870,13.70,0.00,-3.24,-0.14,0.00,98.50,-42.55,1.82,7.63,19.88,18.44
1609502469,13.72,0.00,-2.35,0.09,0.00,98.29,-37.23,-0.05,7.50,19.81,18.38
1609502470,13.72,0.00,-2.35,0.09,0.00,98.29,-33.40,-1.19,7.50,19.88,18.38
1609503069,13.70,0.00,-0.01,-0.04,0.00,98.25,-8.32,-0.75,7.50,19.00,18.25
1609503070,13.70,0.00,-0.01,-0.04,0.00,98.25,0.38,0.49,7.50,19.00,18.31
1609503669,13.63,0.00,-0.01,-0.04,0.00,98.25,0.38,0.49,7.31,18.63,18.13
1609503670,13.63,0.00,-0.01,-0.04,0.00,98.25,0.38,0.49,7.38,18.63,18.19
1609504269,13.57,0.00,-0.01,-0.04,0.00,98.25,0.38,0.49,7.25,18.50,18.00
1609504270,13.57,0.00,-0.01,-0.04,0.00,98.25,0.38,0.49,7.31,18.50,18.06
1609504870,13.52,0.00,-0.01,-0.04,0.00,98.25,0.38,0.49,7.19,18.19,17.88
1609505470,13.46,0.00,-0.01,-0.04,0.00,98.25,0.38,0.49,6.88,18.06,17.75
1609505471,13.46,0.00,-0.01,-0.04,0.00,98.25,0.38,0.49,6.88,18.06,17.81
1609506070,13.42,0.00,-0.01,-0.04,0.00,98.25,0.38,0.48,6.81,18.06,17.63
1609506071,13.42,0.00,-0.01,-0.04,0.00,98.25,0.38,0.48,6.88,18.06,17.69
1609506670,13.38,0.00,-0.01,-0.04,0.00,98.25,0.38,0.48,6.56,17.81,17.50
1609506671,13.38,0.00,-0.01,-0.04,0.00,98.25,0.37,0.48,6.63,17.88,17.56
1609507270,13.34,0.00,-0.01,-0.04,0.00,98.25,0.37,0.48,6.38,17.63,17.44
1609507271,13.34,0.00,-0.01,-0.04,0.00,98.25,0.37,0.48,6.38,17.63,17.44
1609507870,13.30,0.00,-0.01,-0.04,0.00,98.25,0.37,0.48,6.25,17.31,17.31
1609507871,13.30,0.00,-0.01,-0.04,0.00,98.25,0.37,0.48,6.25,17.31,17.31
1609508471,13.27,0.00,-0.01,-0.04,0.00,98.25,0.37,0.48,6.13,17.06,17.19
1609509071,13.24,0.00,-0.01,-0.04,0.00,98.25,0.37,0.48,5.94,16.81,17.13
1609509072,13.24,0.00,-0.01,-0.04,0.00,98.25,0.37,0.48,5.94,16.81,17.13
1609509671,13.21,0.00,-0.01,-0.04,0.00,98.25,0.37,0.48,5.94,16.50,17.00
1609509672,13.21,0.00,-0.01,-0.04,0.00,98.25,0.37,0.48,5.94,16.56,17.06
1609510271,13.18,0.00,-0.01,-0.04,0.00,98.25,0.37,0.48,5.81,16.31,16.88
1609510272,13.18,0.00,-0.01,-0.04,0.00,98.25,0.37,0.48,5.81,16.31,16.94
1609510871,13.16,0.00,-0.01,-0.04,0.00,98.25,0.37,0.47,5.63,16.06,16.81
1609510872,13.16,0.00,-0.01,-0.04,0.00,98.25,0.37,0.47,5.69,16.06,16.81
