
#Thanksgiving Cabin Power System
#Time is in UNIX Time#Created: 2021-01-29 at 10:53:07 or 1611917587 in UNIX time
#Timestamp,Battery Voltage (V),Solar Voltage (V),Load Amps (A),Battery Amps (A),Solar Amps (A),Battery percentage, Power into Battery (w), Power to loads (w),Outside Temp (C),Cabin Temp (C),Battery Temp (C)
1611917587,12.79,0.00,-0.01,-0.04,0.00,-1.00,0.00,0.00,0.63,-0.31,0.06
1611919390,12.79,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.56,-0.31,0.06
1611921192,12.84,0.00,-0.01,-0.01,0.00,-1.00,0.00,0.00,0.75,-0.31,0.06
1611922994,12.88,0.00,-0.01,-0.06,0.00,-1.00,0.00,0.00,1.00,-0.25,0.06
1611924796,12.88,0.00,-0.01,0.01,0.00,-1.00,0.00,0.00,1.00,-0.19,0.06
1611926599,12.85,0.00,-0.01,0.01,0.00,-1.00,0.00,0.00,0.94,-0.19,0.06
1611928401,12.80,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.81,-0.19,0.13
1611930203,12.79,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.81,-0.13,0.13
1611932005,12.79,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.88,-0.13,0.13
1611933807,12.78,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.69,-0.13,0.13
1611935610,12.78,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.63,-0.13,0.13
1611937412,12.78,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.44,-0.13,0.13
1611939214,12.78,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.25,-0.13,0.13
1611941016,12.77,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.13,-0.13,0.19
1611942819,12.77,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.25,-0.13,0.19
1611944621,12.77,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.25,-0.13,0.19
1611946423,12.77,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.25,-0.13,0.19
1611948225,12.77,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.19,-0.13,0.19
1611950027,12.77,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.19,-0.13,0.19
1611951830,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.19,-0.13,0.19
1611953632,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.19,-0.13,0.19
1611955434,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.19,-0.13,0.19
1611957236,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.19,-0.13,0.19
1611959038,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.25,-0.13,0.19
1611960841,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.25,-0.13,0.19
1611962643,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.19,-0.13,0.19
1611964445,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.13,-0.13,0.19
1611966247,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.13,-0.13,0.19
1611968049,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.25,-0.13,0.19
1611969852,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.25,-0.13,0.19
1611971654,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.31,-0.13,0.19
1611973456,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.38,-0.13,0.19
1611975258,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.38,-0.13,0.19
1611977060,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.44,-0.13,0.19
1611978863,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.44,-0.13,0.19
1611980665,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.44,-0.06,0.19
1611982467,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.44,-0.13,0.19
1611984269,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.44,-0.06,0.19
1611986071,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.44,-0.06,0.19
1611987874,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.50,-0.06,0.19
1611989676,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.50,-0.06,0.19
1611991478,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.44,-0.06,0.19
1611993280,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.38,-0.06,0.19
1611995082,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.31,-0.06,0.19
1611996884,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.44,-0.06,0.19
1611998687,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.44,-0.06,0.19
1612000489,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.50,-0.06,0.19
1612002291,12.88,0.00,-0.01,0.13,0.00,-1.00,0.00,0.00,0.81,-0.06,0.19
1612004093,13.08,0.00,-0.01,0.19,0.00,-1.00,0.00,0.00,1.19,0.00,0.25
1612005896,13.32,0.00,-0.01,0.31,0.00,-1.00,0.00,0.00,1.50,0.06,0.25
1612007698,13.25,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,1.69,0.13,0.25
1612009500,13.23,0.00,-0.01,0.11,0.00,-1.00,0.00,0.00,1.69,0.19,0.25
1612011304,13.38,0.00,-0.01,0.12,0.00,-1.00,0.00,0.00,2.06,0.25,0.31
1612013107,13.36,0.00,-0.01,0.17,0.00,-1.00,0.00,0.00,1.94,0.31,0.31
1612014909,13.16,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,1.69,0.31,0.38
1612016712,13.06,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,1.38,0.38,0.38
1612018514,13.02,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,1.25,0.38,0.44
1612020316,12.98,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,1.13,0.38,0.44
1612022119,12.96,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,1.00,0.44,0.50
1612023921,12.94,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.81,0.38,0.50
1612025723,12.92,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.81,0.38,0.50
1612027526,12.90,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.69,0.38,0.56
1612029328,12.89,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.69,0.38,0.56
1612031130,12.87,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.63,0.38,0.56
1612032933,12.86,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.56,0.38,0.56
1612034735,12.85,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.56,0.38,0.56
1612036537,12.84,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.50,0.31,0.56
1612038340,12.83,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.50,0.31,0.56
1612040142,12.82,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.50,0.31,0.56
1612041944,12.82,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.50,0.31,0.56
1612043746,12.81,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.50,0.31,0.56
1612045549,12.80,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.44,0.31,0.56
1612047351,12.79,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.44,0.25,0.56
1612049153,12.79,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.44,0.25,0.56
1612050956,12.78,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.50,0.25,0.56
1612052758,12.78,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.50,0.25,0.56
1612054560,12.78,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.44,0.25,0.56
1612056362,12.77,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.44,0.25,0.56
1612058165,12.77,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.44,0.25,0.56
1612059967,12.77,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.50,0.25,0.56
1612061769,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.50,0.25,0.56
1612063571,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.56,0.25,0.56
1612065374,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.56,0.25,0.56
1612067176,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.50,0.19,0.56
1612068978,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.56,0.25,0.56
1612070780,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.50,0.25,0.56
1612072582,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.50,0.25,0.56
1612074385,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.50,0.19,0.56
1612076187,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.50,0.19,0.50
1612077989,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.50,0.19,0.50
1612079791,12.76,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.50,0.19,0.50
