
#Thanksgiving Cabin Power System
#Time is in UNIX Time#Created: 2021-02-26 at 11:21:37 or 1614338497 in UNIX time
#Timestamp,Battery Voltage (V),Solar Voltage (V),Load Amps (A),Battery Amps (A),Solar Amps (A),Battery percentage, Power into Battery (w), Power to loads (w),Outside Temp (C),Cabin Temp (C),Battery Temp (C)
1614338497,14.72,0.00,-0.01,0.16,0.00,-1.00,0.00,0.00,3.94,0.75,0.31
1614340301,14.29,0.00,-0.01,0.17,0.00,-1.00,0.00,0.00,4.00,0.88,0.44
1614342106,14.32,0.00,-0.01,0.14,0.00,-1.00,0.00,0.00,3.81,1.00,0.50
1614343910,14.29,0.00,-0.01,0.14,0.00,-1.00,0.00,0.00,3.94,1.19,0.63
1614345714,14.32,0.00,-0.01,0.14,0.00,-1.00,0.00,0.00,3.38,1.25,0.69
1614347518,14.00,0.00,-0.01,0.09,0.00,-1.00,0.00,0.00,3.06,1.25,0.81
1614349322,14.32,0.00,-0.01,0.14,0.00,-1.00,0.00,0.00,2.63,1.31,0.88
1614351125,13.70,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,2.31,1.31,0.94
1614352928,13.57,0.00,-0.01,0.01,0.00,-1.00,0.00,0.00,2.31,1.38,1.00
1614354731,13.45,0.00,-0.01,-0.00,0.00,-1.00,0.00,0.00,2.13,1.38,1.06
1614356534,13.29,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,1.75,1.31,1.13
1614358336,13.20,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,1.44,1.31,1.19
1614360139,13.16,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,1.13,1.31,1.19
1614361942,13.13,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.88,1.25,1.19
1614363745,13.11,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.81,1.19,1.25
1614365548,13.10,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.63,1.13,1.25
1614367351,13.08,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.38,1.13,1.25
1614369154,13.07,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.25,1.06,1.25
1614370957,13.06,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.13,1.00,1.25
1614372759,13.05,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-0.06,0.94,1.25
1614374562,13.04,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-0.19,0.88,1.25
1614376365,13.04,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-0.38,0.81,1.19
1614378168,13.03,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-0.38,0.75,1.19
1614379971,13.02,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-0.63,0.69,1.13
1614381774,13.02,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-0.56,0.63,1.13
1614383576,13.01,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-0.56,0.50,1.06
1614385379,13.00,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-0.56,0.44,1.00
1614387182,13.00,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-0.69,0.31,0.94
1614388985,12.99,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-0.63,0.25,0.88
1614390788,12.98,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-0.88,0.19,0.88
1614392590,12.98,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-0.88,0.06,0.81
1614394393,12.97,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-1.13,0.00,0.75
1614396196,12.96,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-1.31,-0.06,0.69
1614397998,12.95,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-1.44,-0.13,0.63
1614399801,12.95,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-1.56,-0.19,0.56
1614401604,12.94,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-1.63,-0.25,0.50
1614403406,12.93,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-1.75,-0.38,0.44
1614405209,12.92,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-1.81,-0.44,0.31
1614407011,12.92,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-1.94,-0.50,0.31
1614408814,12.91,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-1.94,-0.56,0.19
1614410616,12.90,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-1.88,-0.63,0.13
1614412419,12.90,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-1.69,-0.69,0.06
1614414221,12.94,0.00,-0.01,0.01,0.00,-1.00,0.00,0.00,-1.31,-0.75,0.00
1614416023,13.18,0.00,-0.01,0.12,0.00,-1.00,0.00,0.00,-0.69,-0.81,-0.06
1614417826,13.38,0.00,-0.01,0.13,0.00,-1.00,0.00,0.00,-0.19,-0.81,-0.13
1614419629,14.02,0.00,-0.01,0.17,0.00,-1.00,0.00,0.00,0.50,-0.75,-0.13
1614421434,14.74,0.00,-0.01,0.19,0.00,-1.00,0.00,0.00,1.13,-0.75,-0.19
1614423242,14.42,0.00,-0.01,0.16,0.00,-1.00,0.00,0.00,1.38,-0.69,-0.19
1614425045,14.13,0.00,-0.01,0.12,0.00,-1.00,0.00,0.00,1.69,-0.63,-0.19
1614426846,14.74,0.00,-0.01,0.12,0.00,-1.00,0.00,0.00,1.69,-0.50,-0.19
1614428655,14.74,0.00,-0.01,0.14,0.00,-1.00,0.00,0.00,1.94,-0.44,-0.19
1614430457,14.75,0.00,-0.01,0.14,0.00,-1.00,0.00,0.00,2.00,-0.31,-0.19
1614432261,14.07,0.00,-0.01,0.10,0.00,-1.00,0.00,0.00,1.81,-0.25,-0.19
1614434064,13.91,0.00,-0.01,0.08,0.00,-1.00,0.00,0.00,1.44,-0.25,-0.13
1614435866,13.96,0.00,-0.01,0.10,0.00,-1.00,0.00,0.00,1.44,-0.19,-0.13
1614437669,13.82,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,1.38,-0.13,-0.06
1614439472,13.72,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,1.31,-0.13,-0.06
1614441275,13.48,0.00,-0.01,-0.01,0.00,-1.00,0.00,0.00,1.13,-0.06,0.00
1614443078,13.29,0.00,-0.01,-0.04,0.00,-1.00,0.00,0.00,0.94,-0.06,0.00
1614444880,13.20,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.75,-0.06,0.06
1614446683,13.16,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.63,-0.06,0.06
1614448485,13.12,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.63,-0.06,0.06
1614450288,13.10,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.56,-0.06,0.13
1614452091,13.08,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,0.50,-0.06,0.13
