
#Thanksgiving Cabin Power System
#Time is in UNIX Time#Created: 2021-05-21 at 11:54:22 or 1621598062 in UNIX time
#Timestamp,Battery Voltage (V),Solar Voltage (V),Load Amps (A),Battery Amps (A),Solar Amps (A),Battery percentage, Power into Battery (w), Power to loads (w),Outside Temp (C),Cabin Temp (C),Battery Temp (C)
1621598062,13.92,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,85.00,85.00,85.00
1621599870,13.92,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,19.31,14.06,11.75
1621601679,13.92,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,19.44,14.50,12.06
1621603487,13.92,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,19.13,14.94,12.38
1621605296,13.92,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,19.19,15.31,12.69
1621607104,13.92,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,18.88,15.63,13.00
1621608913,13.89,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,18.88,15.94,13.31
1621610722,13.89,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,18.56,16.19,13.56
1621612532,13.89,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,18.06,16.38,13.88
1621614341,13.89,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,17.56,16.50,14.13
1621616150,13.89,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,16.63,16.50,14.31
1621617951,13.89,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,15.88,16.50,14.50
1621619752,13.87,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,15.31,16.38,14.69
1621621553,13.87,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,14.44,16.31,14.75
1621623354,13.86,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,14.13,16.19,14.88
1621625155,13.70,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,13.44,16.06,14.94
1621626956,13.56,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,13.00,15.94,14.94
1621628757,13.43,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,12.50,15.81,15.00
1621630558,13.32,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,12.19,15.63,14.94
1621632359,13.23,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.88,15.44,14.94
1621634160,13.15,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.50,15.25,14.94
1621635969,13.08,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.31,15.06,14.88
1621637770,13.03,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.25,14.88,14.81
1621639571,12.99,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.19,14.69,14.75
1621641381,12.96,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,10.94,14.50,14.69
1621643190,12.94,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,10.75,14.31,14.56
1621645000,12.92,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,10.50,14.13,14.50
1621646809,12.90,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,10.50,13.94,14.38
1621648618,12.89,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,10.38,13.75,14.31
1621650428,12.88,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,10.31,13.63,14.19
1621652237,12.86,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,10.19,13.44,14.06
1621654046,12.86,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,10.19,13.25,13.94
1621655855,12.84,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,10.25,13.13,13.81
1621657664,12.84,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,10.19,13.00,13.69
1621659472,12.83,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,10.19,12.88,13.63
1621661281,12.88,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,10.25,12.69,13.50
1621663090,13.06,0.00,-0.01,0.09,0.00,-1.00,0.00,0.00,10.44,12.63,13.38
1621664898,13.44,0.00,-0.01,0.17,0.00,-1.00,0.00,0.00,10.56,12.56,13.31
1621666707,14.32,0.00,-0.01,0.20,0.00,-1.00,0.00,0.00,11.00,12.50,13.19
1621668516,14.32,0.00,-0.01,0.13,0.00,-1.00,0.00,0.00,11.50,12.44,13.13
1621670324,14.32,0.00,-0.01,0.12,0.00,-1.00,0.00,0.00,12.00,12.50,13.06
1621672133,14.32,0.00,-0.01,0.12,0.00,-1.00,0.00,0.00,12.50,12.50,13.00
1621673942,14.32,0.00,-0.01,0.12,0.00,-1.00,0.00,0.00,12.75,12.56,12.94
1621675751,14.32,0.00,-0.01,0.13,0.00,-1.00,0.00,0.00,13.81,12.69,12.94
1621677559,13.92,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,15.31,13.00,12.94
1621679368,13.89,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,17.06,13.63,13.00
1621681176,13.89,0.00,-0.01,0.07,0.00,-1.00,0.00,0.00,18.44,14.13,13.06
1621682985,13.89,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,19.81,14.63,13.25
1621684794,13.89,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,20.50,15.13,13.44
1621686603,13.89,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,20.94,15.63,13.69
1621688412,13.89,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,21.25,16.06,13.94
1621690213,13.89,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,21.50,16.56,14.19
1621692022,13.87,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,21.06,17.06,14.50
1621693823,13.87,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,21.13,17.44,14.81
1621695624,13.87,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,21.25,17.88,15.13
1621697425,13.87,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,21.56,18.44,15.50
1621699227,13.83,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,21.13,18.88,15.81
1621701028,13.83,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,21.25,19.31,16.19
1621702830,13.73,0.00,-0.01,-0.01,0.00,-1.00,0.00,0.00,19.19,19.25,16.50
1621704632,13.62,0.00,-0.01,-0.01,0.00,-1.00,0.00,0.00,17.88,19.06,16.75
1621706435,13.52,0.00,-0.01,-0.02,0.00,-1.00,0.00,0.00,16.44,18.94,16.94
1621708237,13.43,0.00,-0.01,-0.02,0.00,-1.00,0.00,0.00,15.50,18.81,17.06
1621710040,13.34,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,15.25,18.63,17.13
1621711842,13.24,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,14.81,18.44,17.25
1621713645,13.15,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,14.19,18.25,17.25
1621715447,13.08,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,13.38,18.00,17.25
1621717250,13.03,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,13.13,17.75,17.19
1621719052,12.99,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,13.06,17.50,17.13
1621720855,12.96,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,12.63,17.25,17.06
1621722657,12.94,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,12.38,17.00,17.00
1621724459,12.92,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,12.13,16.75,16.94
1621726261,12.91,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,12.00,16.50,16.81
1621728063,12.90,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.81,16.25,16.69
1621729865,12.88,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,11.56,16.00,16.56
