
#Thanksgiving Cabin Power System
#Time is in UNIX Time#Created: 2021-07-02 at 22:06:35 or 1625263595 in UNIX time
#Timestamp,Battery Voltage (V),Solar Voltage (V),Load Amps (A),Battery Amps (A),Solar Amps (A),Battery percentage, Power into Battery (w), Power to loads (w),Outside Temp (C),Cabin Temp (C),Battery Temp (C)
1625263595,13.69,0.00,-5.04,0.02,0.00,100.00,-66.82,-0.15,18.44,22.25,22.06
1625264196,14.66,0.00,-2.45,0.24,0.00,99.67,-61.57,-3.25,18.19,22.31,22.06
1625264796,14.65,0.00,-2.72,0.18,0.00,99.46,-41.11,-2.71,18.00,22.19,22.13
1625264797,14.65,0.00,-2.72,0.18,0.00,99.46,-42.48,-2.64,18.06,22.19,22.13
1625265396,14.64,0.00,-2.72,0.17,0.00,99.24,-42.41,-2.55,17.94,22.13,22.19
1625265397,14.64,0.00,-2.72,0.17,0.00,99.24,-42.31,-2.48,17.94,22.13,22.19
1625265997,14.64,0.00,-2.72,0.18,0.00,99.02,-42.52,-2.53,17.75,22.06,22.25
1625266597,14.57,0.00,-3.23,0.17,0.00,98.79,-43.34,-2.49,17.63,22.13,22.25
1625266598,14.57,0.00,-3.22,0.17,0.00,98.79,-49.49,-2.52,17.69,22.13,22.31
1625267197,14.78,0.00,-0.89,0.35,0.00,98.57,-42.13,-2.57,17.56,21.94,22.31
1625267198,14.80,0.00,-0.89,0.35,0.00,98.57,-17.80,-4.64,17.56,22.00,22.31
1625267797,14.57,0.00,-0.89,0.17,0.00,98.50,-15.42,-2.47,17.44,21.88,22.31
1625267798,14.57,0.00,-0.89,0.17,0.00,98.50,-15.62,-2.68,17.44,21.88,22.31
1625268397,14.57,0.00,-0.89,0.17,0.00,98.43,-15.50,-2.56,17.31,21.75,22.25
1625268398,14.58,0.00,-0.89,0.17,0.00,98.43,-15.64,-2.68,17.31,21.75,22.25
1625268998,14.59,0.00,-0.89,0.18,0.00,98.36,-15.58,-2.62,17.25,21.69,22.19
1625269598,14.60,0.00,-0.89,0.18,0.00,98.29,-15.66,-2.70,17.13,21.56,22.13
1625269599,14.60,0.00,-0.89,0.19,0.00,98.29,-15.90,-2.94,17.19,21.63,22.13
1625270198,14.59,0.00,-0.89,0.19,0.00,98.22,-15.73,-2.76,17.13,21.50,22.06
1625270199,14.59,0.00,-0.89,0.19,0.00,98.22,-15.86,-2.73,17.13,21.50,22.13
1625270798,14.59,0.00,-0.89,0.20,0.00,98.14,-15.78,-2.81,16.94,21.44,22.06
1625270799,14.59,0.00,-0.89,0.18,0.00,98.14,-15.97,-3.00,16.94,21.44,22.06
1625271398,13.99,0.00,-0.90,-0.36,0.00,98.07,-14.80,-1.88,16.81,21.31,22.00
