
#Thanksgiving Cabin Power System
#Time is in UNIX Time#Created: 2021-07-03 at 13:59:06 or 1625320746 in UNIX time
#Timestamp,Battery Voltage (V),Solar Voltage (V),Load Amps (A),Battery Amps (A),Solar Amps (A),Battery percentage, Power into Battery (w), Power to loads (w),Outside Temp (C),Cabin Temp (C),Battery Temp (C)
1625320746,13.79,0.00,-5.18,-0.00,0.00,99.99,-72.82,0.04,29.00,24.19,23.56
1625321347,13.77,0.00,-4.61,-0.00,0.00,85.40,-62.32,0.02,28.88,24.31,23.63
1625321947,13.78,0.00,-4.50,-0.00,0.00,70.84,-63.03,0.01,28.88,24.25,23.56
1625321948,13.78,0.00,-4.53,-0.00,0.00,70.82,-62.65,0.00,28.88,24.31,23.56
1625322547,13.84,0.00,-3.59,-0.00,0.00,57.37,-49.73,0.00,28.88,24.69,23.63
1625323149,13.82,0.00,-3.56,-0.00,0.00,45.60,-49.16,0.05,29.06,24.56,23.63
1625323749,13.79,0.00,-3.55,-0.00,0.00,33.86,-49.06,0.03,29.19,24.56,23.75
1625323750,13.80,0.00,-3.55,-0.00,0.00,33.85,-49.88,0.04,29.19,24.56,23.75
1625324349,13.81,0.00,-3.57,-0.00,0.00,0.00,-49.34,0.02,28.81,24.75,23.69
1625324350,13.81,0.00,-3.58,-0.00,0.00,0.00,-49.61,0.00,28.81,24.75,23.69
1625324950,13.82,0.00,-3.64,-0.00,0.00,0.00,-49.97,0.04,29.06,24.69,23.69
1625325550,13.82,0.00,-3.54,-0.00,0.00,0.00,-49.21,0.01,29.13,25.13,23.75
1625325551,13.82,0.00,-3.56,-0.00,0.00,0.00,-49.11,0.01,29.13,25.13,23.81
1625326150,13.83,0.00,-3.60,-0.00,0.00,0.00,-49.62,0.01,29.31,25.06,23.88
1625326151,13.83,0.00,-3.59,-0.00,0.00,0.00,-49.73,0.00,29.31,25.13,23.88
1625326750,13.81,0.00,-3.56,-0.00,0.00,0.00,-49.07,0.03,29.13,25.00,23.88
1625326751,13.81,0.00,-3.56,-0.00,0.00,0.00,-49.00,0.01,29.19,25.00,23.94
1625327351,13.80,0.00,-3.54,-0.00,0.00,0.00,-48.84,0.02,29.06,24.75,23.81
1625327951,13.81,0.00,-3.55,-0.00,0.00,0.00,-49.07,0.01,28.94,24.81,23.81
1625328552,13.80,0.00,-3.77,-0.00,0.00,0.00,-51.77,0.00,28.63,24.94,23.88
1625328553,13.80,0.00,-3.77,-0.00,0.00,0.00,-51.72,0.00,28.63,24.94,23.88
1625329153,13.74,0.00,-3.53,-0.00,0.00,0.00,-48.67,0.03,28.25,25.06,24.13
1625329753,13.76,0.00,-3.75,-0.00,0.00,0.00,-51.59,0.03,28.13,25.00,24.13
1625329754,13.76,0.00,-3.75,-0.00,0.00,0.00,-51.48,0.00,28.13,25.00,24.13
1625330353,13.78,0.00,-3.55,-0.00,0.00,0.00,-48.73,0.03,27.69,24.94,24.00
1625330955,13.80,0.00,-1.15,-0.00,0.00,0.00,-16.07,0.04,27.38,24.94,24.06
1625331555,13.81,0.00,-4.38,-0.00,0.00,0.00,-60.76,0.02,27.06,24.94,24.06
1625331556,13.81,0.00,-4.40,-0.00,0.00,0.00,-61.15,0.01,27.13,24.94,24.06
1625332155,13.83,0.00,-4.24,-0.00,0.00,0.00,-58.46,0.00,26.06,24.69,24.00
1625332156,13.83,0.00,-4.22,-0.00,0.00,0.00,-58.64,0.01,26.06,24.69,24.00
1625332755,13.72,0.00,-5.11,-0.00,0.00,0.00,-70.64,0.00,25.25,24.56,23.88
1625333357,13.78,0.00,-5.20,-0.00,0.00,0.00,-72.48,0.00,24.44,24.44,23.75
1625333957,13.76,0.00,-2.54,-0.00,0.00,0.00,-35.02,0.00,23.56,24.19,23.56
1625333958,13.76,0.00,-2.54,-0.00,0.00,0.00,-35.05,0.00,23.56,24.19,23.63
1625334557,13.80,0.00,-2.10,-0.00,0.00,0.00,-28.92,0.00,23.06,24.06,23.50
1625334558,13.80,0.00,-2.09,-0.00,0.00,0.00,-28.81,0.00,23.06,24.06,23.50
1625335158,13.84,0.00,-1.40,-0.00,0.00,0.00,-19.33,0.00,22.25,23.75,23.31
1625335758,13.75,0.00,-1.42,-0.00,0.00,0.00,-19.25,0.00,21.75,23.63,23.13
1625335759,13.75,0.00,-1.40,-0.00,0.00,0.00,-19.36,0.00,21.75,23.63,23.13
1625336358,13.76,0.00,-1.40,-0.00,0.00,0.00,-19.17,0.00,21.31,23.56,22.94
1625336359,13.76,0.00,-1.40,-0.00,0.00,0.00,-19.84,0.00,21.38,23.56,23.00
1625336958,13.59,0.00,-7.06,-0.71,0.00,0.00,-86.51,9.63,21.06,23.44,22.88
1625336959,13.59,0.00,-7.07,-0.69,0.00,0.00,-86.59,9.61,21.06,23.50,22.88
1625337559,13.84,0.00,-2.46,-0.00,0.00,0.00,-34.12,0.00,21.06,23.50,23.00
1625338159,13.78,0.00,-2.70,-0.00,0.00,0.00,-37.21,0.00,20.63,23.38,23.13
