
#Thanksgiving Cabin Power System
#Time is in UNIX Time#Created: 2021-07-28 at 18:31:09 or 1627497069 in UNIX time
#Timestamp,Battery Voltage (V),Solar Voltage (V),Load Amps (A),Battery Amps (A),Solar Amps (A),load Power (w),solar Power (w),hydro Power (w),Outside Temp (C),Cabin Temp (C),Battery Temp (C)
1627497069,14.62,14.00,-4.36,0.52,0.00,-63.45,0.00,71.34,21.00,27.13,24.13
1627497668,14.69,13.83,-4.02,0.60,0.00,-63.60,0.00,71.00,20.81,25.56,23.94
1627497669,14.68,13.83,-4.01,0.31,0.00,-58.93,0.00,62.57,20.81,25.56,23.94
1627498268,14.64,13.60,-4.00,0.50,0.00,-58.65,0.00,66.15,20.56,29.50,23.81
1627498269,14.64,13.60,-4.02,0.50,0.00,-58.56,0.00,66.00,20.56,29.50,23.81
1627498868,14.58,13.18,-3.98,0.45,0.00,-58.60,0.00,66.11,20.19,30.44,23.94
1627498869,14.58,13.18,-3.97,0.51,0.00,-57.87,0.00,64.57,20.19,30.44,23.94
1627499469,14.65,12.40,-4.01,0.54,0.00,-58.54,0.00,66.23,20.13,27.50,24.13
1627500069,14.65,11.73,-3.98,0.57,0.00,-58.28,0.00,65.97,19.94,26.38,24.25
1627500070,14.65,11.73,-3.98,0.54,0.00,-58.28,0.00,66.19,19.94,26.38,24.25
1627500669,14.65,11.29,-3.98,0.53,0.00,-58.13,0.00,65.96,19.75,25.88,24.31
1627500670,14.65,11.29,-3.98,0.54,0.00,-58.12,0.00,66.03,19.81,25.88,24.31
1627501269,14.41,10.80,-3.48,0.53,0.00,-51.57,0.00,59.40,19.50,25.50,24.38
1627501270,14.41,10.80,-3.48,0.54,0.00,-50.15,0.00,58.05,19.50,25.50,24.38
1627501870,13.60,9.92,-3.13,0.25,0.00,-48.01,0.00,36.21,19.25,25.31,24.38
1627502470,13.81,8.82,-3.19,-0.13,0.00,-44.66,0.00,52.60,19.25,25.13,24.38
1627502471,13.81,8.82,-3.19,-0.13,0.00,-44.17,0.00,41.85,19.25,25.13,24.38
1627503070,13.75,6.08,-3.17,0.07,0.00,-43.73,0.00,42.71,19.00,24.94,24.38
1627503071,13.75,6.08,-3.17,0.05,0.00,-43.58,0.00,44.52,19.00,24.94,24.38
1627503671,13.74,2.92,-3.56,0.09,0.00,-44.10,0.00,45.10,18.75,25.25,24.31
1627504271,13.76,0.95,-3.57,0.10,0.00,-49.07,-0.00,50.66,18.56,24.81,24.31
1627504272,13.76,0.94,-3.57,0.11,0.00,-49.12,0.00,50.89,18.63,24.81,24.31
1627504871,13.80,0.35,-4.27,0.22,0.00,-57.18,-0.00,59.16,18.38,24.56,24.31
