
#Thanksgiving Cabin Power System
#Time is in UNIX Time#Created: 2021-07-31 at 11:41:30 or 1627731690 in UNIX time
#Timestamp,Battery Voltage (V),Solar Voltage (V),Load Amps (A),Battery Amps (A),Solar Amps (A),load Power (w),solar Power (w),hydro Power (w),Outside Temp (C),Cabin Temp (C),Battery Temp (C)
1627731690,12.77,13.05,-13.52,-3.93,5.87,-172.98,76.59,46.47,28.13,25.63,25.44
1627732291,13.10,13.37,-7.28,2.22,5.71,-95.12,76.33,48.43,28.13,25.63,25.56
1627732891,13.78,14.69,-7.84,2.70,4.89,-106.18,71.59,71.79,28.81,27.56,25.75
1627732892,13.78,14.67,-7.74,2.79,4.87,-107.01,71.90,71.64,28.81,27.56,25.75
1627733491,13.79,15.78,-7.69,1.55,3.69,-105.95,59.18,69.37,29.13,26.31,25.88
1627733492,13.79,15.72,-7.71,1.68,3.78,-105.86,59.18,68.95,29.13,26.31,25.94
1627734092,13.77,14.26,-7.35,0.90,4.77,-101.00,67.90,46.70,29.06,26.81,26.06
1627734692,13.79,16.01,-7.42,0.80,2.51,-102.00,40.48,72.98,29.31,30.13,26.19
1627734693,13.79,16.00,-7.40,0.78,2.54,-102.25,40.59,72.97,29.38,30.13,26.25
1627735293,13.75,13.85,-7.41,0.20,1.89,-101.40,26.21,78.60,29.63,29.44,26.44
1627735893,13.15,13.20,-6.86,-2.36,0.82,-90.64,10.90,48.91,29.88,28.13,26.63
1627735894,13.15,13.20,-6.87,-2.33,0.84,-90.53,10.96,49.22,29.88,28.19,26.63
1627736494,12.86,12.91,-6.65,-2.18,0.67,-85.72,8.65,49.81,30.00,27.69,26.75
1627737094,13.01,13.06,-6.78,-0.08,0.62,-88.13,8.10,78.63,30.38,27.50,26.81
1627737095,13.01,13.06,-6.78,-0.10,0.62,-88.28,8.11,78.51,30.38,27.56,26.88
1627737695,13.02,13.06,-6.85,-0.20,0.61,-89.35,7.98,78.93,30.31,27.25,26.88
1627738295,12.74,12.78,-6.34,-2.01,0.59,-80.65,7.54,47.61,30.56,27.25,26.94
1627738296,12.74,12.78,-6.33,-2.06,0.59,-80.72,7.54,47.44,30.56,27.25,26.94
1627738896,12.85,12.89,-6.46,0.02,0.56,-82.97,7.22,76.37,30.44,26.94,27.00
1627739496,13.38,13.42,-4.46,1.27,0.54,-59.74,7.24,74.92,30.69,27.25,27.00
1627739497,13.38,13.42,-4.47,1.73,0.54,-59.74,7.25,74.18,30.75,27.25,27.00
1627740097,13.26,13.31,-4.42,-0.38,0.54,-58.61,7.18,47.08,30.88,27.44,27.00
1627740697,13.16,13.20,-4.40,-0.18,0.53,-57.87,6.99,47.96,30.69,27.06,27.00
1627740698,13.16,13.20,-4.40,-0.21,0.54,-57.87,7.12,47.59,30.69,27.06,27.06
1627741298,13.54,13.58,-4.51,1.37,0.51,-60.98,6.92,73.47,30.69,26.88,27.06
1627741898,13.50,13.54,-3.96,-0.12,0.50,-53.43,6.77,44.92,30.56,27.44,27.19
1627741899,13.50,13.54,-3.96,-0.15,0.50,-53.50,6.77,44.18,30.63,27.44,27.19
1627742499,13.40,13.44,-3.95,0.31,0.48,-53.00,6.46,50.29,30.56,27.13,27.19
1627743099,13.76,13.80,-4.07,2.01,0.44,-55.98,6.07,77.69,30.19,26.94,27.19
1627743100,13.76,13.80,-4.07,2.04,0.44,-56.04,6.08,77.79,30.19,26.94,27.19
1627743700,13.91,-13.90,-4.11,1.48,-0.00,-57.16,0.14,77.89,30.25,27.13,27.38
1627744300,13.58,13.62,-4.00,0.11,0.44,-54.33,6.00,50.19,30.38,27.25,27.44
1627744301,13.58,13.62,-4.00,0.11,0.44,-54.32,6.00,50.06,30.38,27.25,27.50
1627744900,13.90,15.11,-4.10,1.83,0.34,-56.96,5.12,77.52,30.13,27.50,27.44
1627744901,13.90,15.05,-4.10,1.84,0.34,-56.96,5.25,77.27,30.13,27.50,27.44
1627745501,14.12,-13.73,-4.17,1.26,-0.00,-58.78,0.13,76.33,30.19,27.19,27.56
1627746101,13.72,13.76,-4.04,-0.02,0.46,-55.40,6.33,48.96,30.13,27.38,27.63
1627746102,13.72,13.76,-4.04,-0.01,0.46,-55.40,6.33,48.25,30.13,27.38,27.63
1627746702,13.70,13.73,-4.06,2.02,0.42,-55.53,5.77,77.73,29.69,27.13,27.63
1627747302,14.17,-13.94,-4.18,1.03,-0.00,-59.21,0.14,73.35,29.50,26.75,27.69
1627747303,14.17,-13.93,-4.18,0.99,-0.01,-59.28,0.00,73.58,29.56,26.75,27.69
1627747902,13.85,13.88,-4.08,-0.14,0.34,-56.52,4.72,48.42,29.13,26.56,27.69
1627747903,13.85,13.88,-4.08,-0.37,0.34,-56.56,4.73,47.00,29.13,26.56,27.75
1627748503,13.67,13.71,-4.03,-0.05,0.34,-54.95,4.66,50.17,28.75,27.00,27.69
1627749104,14.09,-13.91,-4.15,0.49,-0.01,-58.56,0.04,62.72,28.56,29.88,27.69
1627749704,13.91,0.00,-6.47,-3.88,0.00,-90.05,0.14,49.41,28.19,28.56,27.75
1627749705,13.91,-13.98,-6.47,-2.96,-0.01,-89.72,0.00,39.69,28.19,28.63,27.75
1627750304,12.96,12.99,-5.80,-1.67,0.23,-75.14,2.99,50.45,26.81,27.50,27.75
1627750305,12.96,12.99,-5.80,-1.70,0.23,-75.12,3.12,49.71,26.88,27.50,27.75
1627750905,13.01,13.04,-5.89,0.41,0.27,-76.57,3.52,78.35,26.56,28.44,27.75
1627751505,12.86,12.88,-8.98,-2.80,0.13,-115.96,1.68,77.89,26.19,29.69,27.75
1627751506,12.86,12.88,-8.97,-2.77,0.13,-115.63,1.68,78.20,26.19,29.69,27.75
1627752106,12.63,12.64,-8.87,-5.59,0.14,-112.14,1.77,39.05,25.69,30.44,27.75
1627752706,12.62,12.64,-8.04,-4.80,0.15,-101.83,1.89,40.44,25.19,30.31,27.75
1627752707,12.62,12.64,-8.12,-4.69,0.15,-101.34,1.90,39.20,25.19,30.31,27.75
